# Complete accepted GK 1.407 navigation snapshot from read-only probe 0.1.2.
# Snapshot evidence is production-derived; it is not an independent navigation oracle.
# Player runtime evidence: LogOutput(20260919-152112).log.
npc	answer	pathIndex	unsupported	ancestors
npc_actress	@actress_ jewelry	0	False	<none>
npc_actress	@actress_ song_done	0	False	<none>
npc_actress	@actress_2b_1a	0	False	actress_2b{unlock=False,notBlacklisted=True,unsupported=False,gates=S:P=<none>:L=GameRes:_rel=10}
npc_actress	@actress_2b_1b	0	False	actress_2b{unlock=False,notBlacklisted=True,unsupported=False,gates=S:P=<none>:L=GameRes:_rel=10}
npc_actress	@actress_father	0	False	<none>
npc_actress	@actress_lute_done	0	False	<none>
npc_actress	@actress_marketing	0	False	<none>
npc_actress	@actress_money_back	0	False	<none>
npc_actress	@actress_parfume_ready	0	False	<none>
npc_actress	@actress_snake_back	0	False	<none>
npc_actress	@actress_story_gold	0	False	<none>
npc_actress	@actress_title	0	False	<none>
npc_actress	@actress_trade	0	False	<none>
npc_actress	@souls_s_s31_ask	0	False	<none>
npc_actress	@tr_quest_8_singing_charm_1	0	False	<none>
npc_actress	@tr_quest_8_singing_charm_8	0	False	<none>
npc_actress	actress_2a_2	0	False	<none>
npc_actress	actress_2b	0	False	<none>
npc_actress	actress_no_question	0	False	actress_2b{unlock=False,notBlacklisted=True,unsupported=False,gates=S:P=<none>:L=GameRes:_rel=10}
npc_actress	Leave	0	False	<none>
npc_actress	tr_quest_8_singing_charm_7a	0	False	@tr_quest_8_singing_charm_1{unlock=True,notBlacklisted=True,unsupported=False,gates=<none>}
npc_actress	tr_quest_8_singing_charm_7b	0	False	@tr_quest_8_singing_charm_1{unlock=True,notBlacklisted=True,unsupported=False,gates=<none>}
npc_actress	tr_quest_8_singing_charm_7c	0	False	@tr_quest_8_singing_charm_1{unlock=True,notBlacklisted=True,unsupported=False,gates=<none>}
npc_astrologer	@astrolog_expedition	0	False	<none>
npc_astrologer	@astrologer_2a_1a_1	0	False	astrologer_2a{unlock=False,notBlacklisted=True,unsupported=False,gates=S:P=<none>:L=GameRes:_rel=10}
npc_astrologer	@astrologer_2a_1b_1	0	False	astrologer_2a{unlock=False,notBlacklisted=True,unsupported=False,gates=S:P=<none>:L=GameRes:_rel=10}
npc_astrologer	@astrologer_about_acid	0	False	@astrologer_diary{unlock=True,notBlacklisted=True,unsupported=False,gates=S:P=Item:quest_cultit_book=1:L=<none>}>astrologer_diary_9a{unlock=False,notBlacklisted=True,unsupported=False,gates=<none>}
npc_astrologer	@astrologer_about_acid	1	False	@astrologer_diary{unlock=True,notBlacklisted=True,unsupported=False,gates=S:P=Item:quest_cultit_book=1:L=<none>}>astrologer_diary_9b{unlock=False,notBlacklisted=True,unsupported=False,gates=<none>}
npc_astrologer	@astrologer_about_tools	0	False	@astrologer_diary{unlock=True,notBlacklisted=True,unsupported=False,gates=S:P=Item:quest_cultit_book=1:L=<none>}>astrologer_diary_9a{unlock=False,notBlacklisted=True,unsupported=False,gates=<none>}
npc_astrologer	@astrologer_about_tools	1	False	@astrologer_diary{unlock=True,notBlacklisted=True,unsupported=False,gates=S:P=Item:quest_cultit_book=1:L=<none>}>astrologer_diary_9b{unlock=False,notBlacklisted=True,unsupported=False,gates=<none>}
npc_astrologer	@astrologer_acid	0	False	<none>
npc_astrologer	@astrologer_charm_know	0	False	<none>
npc_astrologer	@astrologer_charm_no	0	False	<none>
npc_astrologer	@astrologer_charm	0	False	<none>
npc_astrologer	@astrologer_diary	0	False	<none>
npc_astrologer	@astrologer_fix_mill	0	False	<none>
npc_astrologer	@astrologer_fix	0	False	<none>
npc_astrologer	@astrologer_gold	0	False	<none>
npc_astrologer	@astrologer_items	0	False	<none>
npc_astrologer	@astrologer_last_0	0	False	<none>
npc_astrologer	@astrologer_necronamicon	0	False	<none>
npc_astrologer	@astrologer_silver	0	False	<none>
npc_astrologer	@astrologer_title	0	False	<none>
npc_astrologer	@astrologer_tools	0	False	<none>
npc_astrologer	@astrologer_trade	0	False	<none>
npc_astrologer	@refugees_s_ev_7_1_1	0	False	<none>
npc_astrologer	@souls_s_s30_ask	0	False	<none>
npc_astrologer	@tr_quest_13_research_1	0	False	<none>
npc_astrologer	astrologer_2a_1b_6a	0	False	astrologer_2a{unlock=False,notBlacklisted=True,unsupported=False,gates=S:P=<none>:L=GameRes:_rel=10}>@astrologer_2a_1b_1{unlock=True,notBlacklisted=True,unsupported=False,gates=<none>}
npc_astrologer	astrologer_2a_1b_6b	0	False	astrologer_2a{unlock=False,notBlacklisted=True,unsupported=False,gates=S:P=<none>:L=GameRes:_rel=10}>@astrologer_2a_1b_1{unlock=True,notBlacklisted=True,unsupported=False,gates=<none>}
npc_astrologer	astrologer_2a_1b_6c	0	False	astrologer_2a{unlock=False,notBlacklisted=True,unsupported=False,gates=S:P=<none>:L=GameRes:_rel=10}>@astrologer_2a_1b_1{unlock=True,notBlacklisted=True,unsupported=False,gates=<none>}
npc_astrologer	astrologer_2a	0	False	<none>
npc_astrologer	astrologer_2b	0	False	<none>
npc_astrologer	astrologer_diary_9a	0	False	@astrologer_diary{unlock=True,notBlacklisted=True,unsupported=False,gates=S:P=Item:quest_cultit_book=1:L=<none>}
npc_astrologer	astrologer_diary_9b	0	False	@astrologer_diary{unlock=True,notBlacklisted=True,unsupported=False,gates=S:P=Item:quest_cultit_book=1:L=<none>}
npc_astrologer	Back	0	False	astrologer_2a{unlock=False,notBlacklisted=True,unsupported=False,gates=S:P=<none>:L=GameRes:_rel=10}>@astrologer_2a_1b_1{unlock=True,notBlacklisted=True,unsupported=False,gates=<none>}
npc_astrologer	Back	1	False	astrologer_2a{unlock=False,notBlacklisted=True,unsupported=False,gates=S:P=<none>:L=GameRes:_rel=10}
